incident_heat_flux_kw_m2,time_s,replicate_id,initial_thickness_m,current_total_thickness_m,exposed_surface_displacement_m,optical_char_layer_thickness_m,isotherm_300c_layer_thickness_m,thickness_uncertainty_m,char_front_uncertainty_m,wood_species_by_ply,adhesive_type,individual_ply_thickness_m,oven_dry_density_kg_m3,moisture_ratio_dry_basis,grain_orientation_by_ply_deg,mass_history_file,notes
35,60,1,,,,,,,,,,,,,,,
35,60,2,,,,,,,,,,,,,,,
35,60,3,,,,,,,,,,,,,,,
35,180,1,,,,,,,,,,,,,,,
35,180,2,,,,,,,,,,,,,,,
35,180,3,,,,,,,,,,,,,,,
35,300,1,,,,,,,,,,,,,,,
35,300,2,,,,,,,,,,,,,,,
35,300,3,,,,,,,,,,,,,,,
35,600,1,,,,,,,,,,,,,,,
35,600,2,,,,,,,,,,,,,,,
35,600,3,,,,,,,,,,,,,,,
70,60,1,,,,,,,,,,,,,,,
70,60,2,,,,,,,,,,,,,,,
70,60,3,,,,,,,,,,,,,,,
70,180,1,,,,,,,,,,,,,,,
70,180,2,,,,,,,,,,,,,,,
70,180,3,,,,,,,,,,,,,,,
70,300,1,,,,,,,,,,,,,,,
70,300,2,,,,,,,,,,,,,,,
70,300,3,,,,,,,,,,,,,,,
70,600,1,,,,,,,,,,,,,,,
70,600,2,,,,,,,,,,,,,,,
70,600,3,,,,,,,,,,,,,,,
