run_id,incident_heat_flux_kw_m2,scheduled_interruption_s,replicate_id,expected_run_directory
CF6O-F035-T0060-R01,35,60,1,runs/CF6O-F035-T0060-R01
CF6O-F035-T0060-R02,35,60,2,runs/CF6O-F035-T0060-R02
CF6O-F035-T0060-R03,35,60,3,runs/CF6O-F035-T0060-R03
CF6O-F035-T0180-R01,35,180,1,runs/CF6O-F035-T0180-R01
CF6O-F035-T0180-R02,35,180,2,runs/CF6O-F035-T0180-R02
CF6O-F035-T0180-R03,35,180,3,runs/CF6O-F035-T0180-R03
CF6O-F035-T0300-R01,35,300,1,runs/CF6O-F035-T0300-R01
CF6O-F035-T0300-R02,35,300,2,runs/CF6O-F035-T0300-R02
CF6O-F035-T0300-R03,35,300,3,runs/CF6O-F035-T0300-R03
CF6O-F035-T0600-R01,35,600,1,runs/CF6O-F035-T0600-R01
CF6O-F035-T0600-R02,35,600,2,runs/CF6O-F035-T0600-R02
CF6O-F035-T0600-R03,35,600,3,runs/CF6O-F035-T0600-R03
CF6O-F070-T0060-R01,70,60,1,runs/CF6O-F070-T0060-R01
CF6O-F070-T0060-R02,70,60,2,runs/CF6O-F070-T0060-R02
CF6O-F070-T0060-R03,70,60,3,runs/CF6O-F070-T0060-R03
CF6O-F070-T0180-R01,70,180,1,runs/CF6O-F070-T0180-R01
CF6O-F070-T0180-R02,70,180,2,runs/CF6O-F070-T0180-R02
CF6O-F070-T0180-R03,70,180,3,runs/CF6O-F070-T0180-R03
CF6O-F070-T0300-R01,70,300,1,runs/CF6O-F070-T0300-R01
CF6O-F070-T0300-R02,70,300,2,runs/CF6O-F070-T0300-R02
CF6O-F070-T0300-R03,70,300,3,runs/CF6O-F070-T0300-R03
CF6O-F070-T0600-R01,70,600,1,runs/CF6O-F070-T0600-R01
CF6O-F070-T0600-R02,70,600,2,runs/CF6O-F070-T0600-R02
CF6O-F070-T0600-R03,70,600,3,runs/CF6O-F070-T0600-R03
